chunkName,ecodata_object,plain.language.figure.description,fig_cap_ne,fig_cap_ma,fig_cap_both,fig_path_ne,fig_path_ma,fig_path_both,slide_fig_path_ma,slide_fig_path_ne,slide_fig_path_both,alt_text_ma,alt_text_ne,alt_text_both
cold-pool-size,cold_pool,faceted line plot showing cold pool index and extent,NA,NA,"Seasonal cold pool mean temperature (top) and spatial extent index (bottom), based on bias-corrected ROMS-NWA (open circles) and GLORYS (closed circles), with declining trends (purple).",NA,NA,images\BothReports\cold_pool_BothReports,,NA,images\BothReports\slide_cold_pool_BothReports,NA,NA,NA
cold-pool-time,cold_pool,line plot showing cold pool persistence index,NA,NA,The Mid Atlantic Bight Cold Pool persistence index based on bias-corrected ROMS-NWA (open circles) and GLORYS (closed circles).,NA,NA,images\BothReports\cold_pool_time_BothReports,,NA,images\BothReports\slide_cold_pool_time_BothReports,NA,NA,NA
comm-div-fleet,commercial_div,faceted line plot showing fleet count and fleet diversity in revenue,Commercial fleet count (top) and fleet diversity in revenue (bottom) in New England (black) with significant decline in fleet count (purple line).,Commercial fleet count (top) and fleet diversity in revenue (bottom) in the Mid-Atlantic (black) with significant decline in fleet count (purple line).,NA,images\NewEngland\comm_div_fleet_NewEngland,images\MidAtlantic\comm_div_fleet_MidAtlantic,NA,images\MidAtlantic\slide_comm_div_fleet_MidAtlantic,images\NewEngland\slide_comm_div_fleet_NewEngland,NA,NA,NA,NA
commercial-div-species-div,commercial_div,line plot showing permit revenue species diversity,Species revenue diversity in New England.,Species revenue diversity in the Mid Atlantic.,NA,images\NewEngland\commercial_div_species_div_NewEngland,images\MidAtlantic\commercial_div_species_div_MidAtlantic,NA,images\MidAtlantic\slide_commercial_div_species_div_MidAtlantic,images\NewEngland\slide_commercial_div_species_div_NewEngland,NA,NA,NA,NA
commercial-engagement,engagement,point plot showing engagement index and relative engagement index for top fishing communities,Commercial engagement and population relative engagement with labels for the top commercially engaged fishing communities in  New England.,"Commercial engagement and population relative engagement, with labels for the top commercially engaged fishing communities in the Mid-Atlantic. *Due to changes in data infrastructure, data from Reedville, VA was combined with data from ‘Other VA' and 'Other Northumberland’.",NA,images\NewEngland\commercial_engagement_NewEngland,images\MidAtlantic\commercial_engagement_MidAtlantic,NA,images\MidAtlantic\slide_commercial_engagement_MidAtlantic,images\NewEngland\slide_commercial_engagement_NewEngland,NA,NA,NA,NA
comm-landings,comdat,faceted plot showing landings by guild,"Total commercial landings (black) and NEFMC managed U.S seafood landings (red) by feeding guild for the Gulf of Maine (GOM, right) and Georges Bank (GB, left).","Total commercial landings in the Mid-Atlantic Bight (black) and MAFMC-managed U.S seafood landings (red) by feeding guild, with significant declines (purple) in total planktivore landings.",NA,images\NewEngland\commercial_landings_NewEngland,images\MidAtlantic\commercial_landings_MidAtlantic,NA,images\MidAtlantic\slide_commercial_landings_MidAtlantic,images\NewEngland\slide_commercial_landings_NewEngland,NA,NA,NA,NA
comm-revenue,comdat,line plot showing council-managed and total revenue,"Commercial revenue through 2023 for Georges Bank (top) and the Gulf of Maine (bottom): total (black) and from NEFMC managed species (red). Dashed lines represent the long-term annual
mean.","Commercial revenue through 2023 for the for the Mid-Atlantic region: total (black) and from MAFMC managed species (red). Dashed lines represent the long-term annual
mean.",NA,images\NewEngland\comm_revenue_NewEngland,images\MidAtlantic\comm_revenue_MidAtlantic,NA,images\MidAtlantic\slide_comm_revenue_MidAtlantic,images\NewEngland\slide_comm_revenue_NewEngland,NA,NA,NA,NA
commvulex,community_climate_vulnerability,"line plot showing proportion of communities with low, moderate, high, and very high climate vulnerability","Proportion of New England communities at each revenue climate vulnerability level over time. Total climate vulnerability ranges from low (green), moderate (yellow), high (orange), to very high (red).","Proportion of Mid-Atlantic communities at each revenue climate vulnerability level over time. Total climate vulnerability ranges from low (green), moderate (yellow), high (orange), to very high (red).",NA,images\NewEngland\commvulex_NewEngland,images\MidAtlantic\commvulex_MidAtlantic,NA,images\MidAtlantic\slide_commvulex_MidAtlantic,images\NewEngland\slide_commvulex_NewEngland,NA,NA,NA,NA
docformat,NA,,NA,NA,Document orientation. a. Key to figures. b.The Northeast Large Marine Ecosystem.,NA,NA,,,NA,NA,NA,NA,NA
energy-density,energy_density,faceted line plot showing energy density of multiple forage fish,NA,NA,"Energy density (mean and standard deviation) of eight forage species from NEFSC bottom trawl surveys by season and year, compared with limited data available from the 1980s (solid line; Steimle and Terranove 1985) and 1990s (dashed line; Lawson et al. 1998) values.",NA,NA,images\BothReports\energy_density_BothReports,,NA,images\BothReports\slide_energy_density_BothReports,NA,NA,NA
exp-n,exp_n,line plot showing expected number of species from Albatross and Bigelow surveys,"Adult fish diversity for Georges Bank (top) and in the Gulf of Maine (bottom), based on expected number of species in a standard number of individuals. Results from survey vessels Albatross (red) and Bigelow (blue) are reported separately due to catchability differences.","Adult fish diversity in the Mid-Atlantic Bight, based on expected number of species in a standard number of individuals. Results from survey vessels Albatross (red) and Bigelow (blue) are reported separately due to catchability differences.",NA,images\NewEngland\exp_n_NewEngland,images\MidAtlantic\exp_n_MidAtlantic,NA,images\MidAtlantic\slide_exp_n_MidAtlantic,images\NewEngland\slide_exp_n_NewEngland,NA,NA,NA,NA
foragebio,forage_index,line plot showing relative forage biomass over time,Forage fish index in GB (top) and GOM (bottom) for spring (blue) and fall (red) surveys. Index values are relative to the maximum observation within a region across surveys.,"Forage fish index in the MAB for spring (blue) and fall (red) surveys, with a decline (purple) in fall. Index values are relative to the maximum observation within a region across surveys.",NA,images\NewEngland\foragebio_NewEngland,images\MidAtlantic\foragebio_MidAtlantic,NA,images\MidAtlantic\slide_foragebio_MidAtlantic,images\NewEngland\slide_foragebio_NewEngland,NA,NA,NA,NA
forageshifts,forage_index,faceted line plot showing eastward and northward shifts in forage fish over time,NA,NA,"Eastward (top) and northward (bottom) shifts in the center of gravity for 20 forage fish species on the Northeast U.S. Shelf in fall (left) and spring (right), with increasing trend (orange) for fall eastward and northward center of gravity.",NA,NA,images\BothReports\forage_dist_BothReports,,NA,images\BothReports\slide_forage_dist_BothReports,NA,NA,NA
GOMoa,NA,line plot of aragonite saturation by week of year,NA,NA,Weekly average surface aragonite saturation state measured at the long-term buoy location in the Gulf of Maine at 43.02 N and 70.54 W,NA,NA,images\BothReports\GOMoa_image.png,,NA,NA,NA,NA,NA
grayseal,grayseal,line plot showing gray seal bycatch,NA,NA,"Gray Seal average bycatch estimate for gillnet fisheries (blue, confidence interval shaded) and the potential biological removal (red). The dashed line (black) represents the annual estimated bycatch. ",NA,NA,images\BothReports\grayseal_BothReports,,NA,images\BothReports\slide_grayseal_BothReports,NA,NA,NA
GSI,gsi,line plot showing Western GSI over time,NA,NA,"Index representing changes in the location of the western (between 64 and 55 degrees W) Gulf Stream north wall (black). Positive values represent a more northerly Gulf Stream position, with increasing trend (orange).",NA,NA,images\BothReports\west_gsi_BothReports,,NA,images\BothReports\slide_west_gsi_BothReports,NA,NA,NA
harborporpoise,harborporpoise,line plot showing harbor porpoise bycatcg,NA,NA,"Harbor porpoise average bycatch estimate for Mid-Atlantic and New England gillnet fisheries (blue, confidence interval shaded) and the potential biological removal (red). The dashed line (black) represents the annual estimated bycatch. ",NA,NA,images\BothReports\harborporpoise_BothReports,,NA,images\BothReports\slide_harborporpoise_BothReports,NA,NA,NA
long-term-sst,long_term_sst,line plot showing long term SST,NA,NA,"Northeast US annual sea surface temperature (SST, black), with increasing trend (orange).",NA,NA,images\BothReports\long_term_sst_BothReports,,NA,images\BothReports\slide_long_term_sst_BothReports,NA,NA,NA
mab-cf,condition,raster grid showing condition of several fish species,NA,"Condition factor for fish species in the MAB based on fall NEFSC bottom trawl survey data. MAB data are missing for 2017 due to survey delays, and no survey was conducted in 2020.",NA,NA,images\MidAtlantic\condition_MidAtlantic,NA,images\MidAtlantic\slide_condition_MidAtlantic,NA,NA,NA,NA,NA
mab-oa,NA,map of glider tracks and aragonite measurements in New York Bight,NA,NA,"Locations where bottom aragonite saturation state ($\Omega_{Arag}$; summer only: June-August) were at or below the laboratory-derived sensitivity level for Atlantic sea scallop (left panel) and longfin squid (right panel) for the time periods 2007-2022 (dark cyan), 2023 only (magenta) and 2024 only (cyan). Gray circles indicate locations where bottom $\Omega_{Arag}$ values were above the species specific sensitivity values..",NA,NA,images\BothReports\SOE-2025-OA-figure_final_GraceSaba_2025.png,,NA,images\BothReports\SOE-2025-OA-figure_final_GraceSaba_2025.png,NA,NA,NA
macrobenthosshifts,benthos_index,faceted line plot showing eastward and northward shifts in macrobenthos over time,NA,NA,Eastward (top) and northward (bottom) shifts in the center of gravity for macrobenthos species on the Northeast U.S. Shelf in fall (left) and spring (right).,NA,NA,images\BothReports\macrobenthos_dist_BothReports,,NA,images\BothReports\slide_macrobenthos_dist_BothReports,NA,NA,NA
mass-biomass,mass_inshore_survey,faceted line plot of guild abundance,Spring (left) and fall (right) surveyed biomass from the state of Massachusetts inshore survey. The shaded area around each annual mean represents 2 standard deviations from the mean.,NA,NA,images\NewEngland\mass_inshore_NewEngland,NA,NA,,images\NewEngland\slide_mass_inshore_NewEngland,NA,NA,NA,NA
narw-abundance,narw,line plot showing NARW abundance,NA,NA,Estimated North Atlanic right whale abundance on the Northeast Shelf.,NA,NA,images\BothReports\narw_abundance_BothReports,,NA,images\BothReports\slide_narw_abundance_BothReports,NA,NA,NA
NARW-calf-abundance,narw,line plot showing NARW calf abundance,NA,NA,"Number of North Atlantic right whale calf births, 1980 - 2022.",NA,NA,images\BothReports\narw_calves_BothReports,,NA,images\BothReports\slide_narw_calves_BothReports,NA,NA,NA
ne-cf,condition,raster grid showing condition of several fish species,"Condition factor for fish species in New England (top: Georges Bank, GB; bottom: Gulf of Maine, GOM) based on fall NEFSC bottom trawl survey data. No survey was conducted in 2020.",NA,NA,images/NewEngland/condition_NewEngland,NA,NA,,images/NewEngland/slide_condition_NewEngland,NA,NA,NA,NA
nefsc-biomass-gb,aggregate_biomass,"faceted line plot showing aggregate biomass of guilds, by season",Spring (left) and fall (right) surveyed biomass on Georges Bank. The shaded area around each annual mean represents 2 standard deviations from the mean.,NA,NA,images\NewEngland\aggregate_biomass_gb_NewEngland,NA,NA,,images\NewEngland\slide_aggregate_biomass_gb_NewEngland,NA,NA,NA,NA
nefsc-biomass-gom,aggregate_biomass,"faceted line plot showing aggregate biomass of guilds, by season",Spring (left) and fall (right) surveyed biomass in the Gulf of Maine. The shaded area around each annual mean represents 2 standard deviations from the mean.,NA,NA,images\NewEngland\aggregate_biomass_gom_NewEngland,NA,NA,,images\NewEngland\slide_aggregate_biomass_gom_NewEngland,NA,NA,NA,NA
nefsc-biomass-mab,aggregate_biomass,"faceted line plot showing aggregate biomass of guilds, by season",NA,"Spring (left) and fall (right) surveyed biomass in the Mid-Atlantic Bight. Data from the NEFSC Bottom Trawl Survey are shown in black, with the nearshore NEAMAP survey shown in red. Significant increases (orange lines) are present for spring piscivore and fall benthivore and benthos biomass. The shaded area around each annual mean represents 2 standard deviations from the mean.",NA,NA,images\MidAtlantic\aggregate_biomass_mab_MidAtlantic,NA,images\MidAtlantic\slide_aggregate_biomass_mab_MidAtlantic,NA,NA,NA,NA,NA
productivity-anomaly,productivity_anomaly,faceted bar plot showing biomass and recruitment anomalies,"Fish productivity measures. Top: Small-fish-per-large-fish survey biomass anomaly in the Gulf of Maine. Bottom: assessment recruitment per spawning stock biomass anomaly for stocks managed by the New England Fishery Management Council region. The summed anomaly across species is shown by the black line, drawn across all years with the same number of stocks analyzed.","Fish productivity measures. Top: Small fish per large fish survey biomass anomaly in the Mid-Atlantic Bight. Bottom: assessment recruitment per spawning stock biomass anomaly for stocks mainly in the Mid-Atlantic. The summed anomaly across species is shown by the black line, drawn across all years with the same number of stocks analyzed. ",NA,images\NewEngland\productivity_anomaly_NewEngland,images\MidAtlantic\productivity_anomaly_MidAtlantic,NA,images\MidAtlantic\slide_productivity_anomaly_MidAtlantic,images\NewEngland\slide_productivity_anomaly_NewEngland,NA,NA,NA,NA
protectedspp-dist-shifts,cetacean_dist,faceted map of cetacean distribution shifts by season,NA,NA,"Direction and magnitude of core habitat shifts, represented by the length of the line of the seasonal weighted centroid for species with more than 70 km difference between 2010 and 2017 (tip of arrow).",NA,NA,images\BothReports\cetacean_dist_BothReports,,NA,images\BothReports\slide_cetacean_dist_BothReports,NA,NA,NA
recdat-div-catch,recdat,line plot of diversity of recreational catch,Diversity of recreational catch in New England.,Diversity of recreational catch in the Mid Atlantic.,NA,images\NewEngland\recdat_div_catch_NewEngland,images\MidAtlantic\recdat_div_catch_MidAtlantic,NA,images\MidAtlantic\slide_recdat_div_catch_MidAtlantic,images\NewEngland\slide_recdat_div_catch_NewEngland,NA,NA,NA,NA
rec-div,recdat,line plot of recreational fleet effort diversity,Recreational fleet effort diversity (black) in New England.,"Recreational fleet effort diversity (black) in the Mid-Atlantic, with significant decrease (purple line).",NA,images\NewEngland\rec_div_NewEngland,images\MidAtlantic\rec_div_MidAtlantic,NA,images\MidAtlantic\slide_rec_div_MidAtlantic,images\NewEngland\slide_rec_div_NewEngland,NA,NA,NA,NA
rec-hms,rec_hms,faceted line plot showing recreational shark landings and recreational pelagic shark landings,Recreational shark landings in the New England region from NOAA Fisheries' Large Pelagics Survey (top) and Marine Recreational Information Program (bottom).,Recreational shark landings in the Mid-Atlantic region from NOAA Fisheries' Large Pelagics Survey (top) and Marine Recreational Information Program (bottom) with declining trends (purple).,NA,images\NewEngland\rec_hms_NewEngland,images\MidAtlantic\rec_hms_MidAtlantic,NA,images\MidAtlantic\slide_rec_hms_MidAtlantic,images\NewEngland\slide_rec_hms_NewEngland,NA,NA,NA,NA
rec-landings,recdat,line plot showing recreational seafood harvest,Total recreational seafood harvest (millions of pounds) in the New England region.,"Total recreational seafood harvest (millions of pounds, black, significant decrease, purple) in the Mid-Atlantic region.",NA,images\NewEngland\rec_landings_NewEngland,images\MidAtlantic\rec_landings_MidAtlantic,NA,images\MidAtlantic\slide_rec_landings_MidAtlantic,images\NewEngland\slide_rec_landings_NewEngland,NA,NA,NA,NA
rec-op,recdat,line plot showing recreational angler trips over time,"Recreational effort (number of trips, black) in New England.","Recreational effort (number of trips, black) in the Mid-Atlantic, with significant increase (orange line).",NA,images\NewEngland\rec_op_NewEngland,images\MidAtlantic\rec_op_MidAtlantic,NA,images\MidAtlantic\slide_rec_op_MidAtlantic,images\NewEngland\slide_rec_op_NewEngland,NA,NA,NA,NA
recreational-engagement,engagement,point plot showing engagement index and relative engagement index for top recreational fishing communities,Recreational engagement and population relative engagement with labels for the top recreationally engaged fishing communities in  New England.,Recreational engagement and population relative engagement with labels for the top recreationally engaged fishing communities in the Mid-Atlantic.,NA,images\NewEngland\recreational_engagement_NewEngland,images\MidAtlantic\recreational_engagement_MidAtlantic,NA,images\MidAtlantic\slide_recreational_engagement_MidAtlantic,images\NewEngland\slide_recreational_engagement_NewEngland,NA,NA,NA,NA
salmon,gom_salmon,faceted line plot of salmon percent return and number of salmon,Percent return rate (top) and abundance (bottom) of Atlantic salmon.,NA,NA,images\NewEngland\salmon_NewEngland,NA,NA,,images\NewEngland\slide_salmon_NewEngland,NA,NA,NA,NA
seabird-ne-productivity,seabird_ne,line plot of fledged chicks per nest,Productivity of Common terns in the Gulf of Maine.,NA,NA,images\NewEngland\seabird_productivity_NewEngland,NA,NA,,images\NewEngland\slide_seabird_productivity_NewEngland,NA,NA,NA,NA
seals,seal_pups,"line plot of gray seal pup births, colored by colony",NA,NA,Estimated number of gray seal pups born at four United States pupping colonies at various times from 1988 to 2021. Recreated from Wood et al. 2022 (Figure 5).,NA,NA,images\BothReports\seal_pups_BothReports,,NA,images\BothReports\slide_seal_pups_BothReports,NA,NA,NA
slopesea,NA,map of temperature anomalies in the Northeast US Shelf,NA,NA,February 2024 sea surface temperature difference compared to the February 2000-2020 long-term mean from the NOAA Advanced Clear-Sky Processor for Ocean (ACSPO) Super-collated SST.,NA,NA,images\BothReports\Feb2024-SST-ANOM_KHyde_2025.png,,NA,images\BothReports\Feb2024-SST-ANOM_KHyde_2025.png,NA,NA,NA
slopewater,slopewater,line plot showing Labrador and Warm Slope Waters,NA,NA,The proportion of Warm Slope Water (WSW) and Labrador Slope Water (LSW) enter the Gulf of Maine through the Northeast Channel from 1977 to 2023. The red and teal dashed lines represent the long-term proportion averages for the WSW and LSW respectively.,NA,NA,images\BothReports\slopewater_BothReports,,NA,images\BothReports\slide_slopewater_BothReports,NA,NA,NA
spawntiming,spawn_timing,faceted line plot of spring resting maturity stage for several fish,NA,NA,"Percent resting stage (non-spawning) mature female fish (black) from spring NEFSC bottom trawl survey with significant increases (orange) and decreases (purple) from two haddock and three yellowtail flounder stocks: CC = Cape Cod Gulf of Maine, GOM = Gulf of Maine, GB = Georges Bank, SNE = Southern New England.",NA,NA,images\BothReports\spawn_timing_BothReports,,NA,images\BothReports\slide_spawn_timing_BothReports,NA,NA,NA
species-dist,species_dist,faceted line plot showing along-shelf distance and depth ,NA,NA,"Aggregate species distribution metrics for species in the Northeast Large Marine Ecosystem: along shelf distance with increasing trend (orange), and depth with decreasing trend indicating deeper water (purple).",NA,NA,images\BothReports\species_dist_BothReports,,NA,images\BothReports\slide_species_dist_BothReports,NA,NA,NA
stock-status,stock_status,Kobe plot of stock status,"Summary of single species status for NEFMC and jointly federally managed stocks (goosefish and spiny dogfish).  The dotted vertical line at one is the target biomass reference point of B.  The dashed lines are the management thresholds of B (vertical) or F (horizontal). Stocks with a $B/B_{MSY}$ estimate but without an $F/F_{MSY}$ estimate are denoted in a separate box plot (top). Colors denote stocks with $B/B_{MSY}$ < 0.5 or $F/F_{MSY}$ (orange), stocks 0.5<$B/B_{MSY}$<1 (blue), and stocks $B/B_{MSY}$>1 (green).CCGOM = Cape Cod Gulf of Maine, GOM = Gulf of Maine, GB = Georges Bank, SNEMA = Southern New England Mid Atlantic","Summary of single species status for MAFMC and jointly federally managed stocks (Spiny dogfish and both Goosefish). The dotted vertical line is the target biomass reference point of $B_{MSY}$. The dashed lines are the management thresholds of one half $B_{MSY}$ (vertical) or $F_{MSY}$. (horizontal).  Stocks with a $B/B_{MSY}$ estimate but without an $F/F_{MSY}$ estimate are denoted in a separate box plot (top).  Colors denote stocks with $B/B_{MSY}$ < 0.5 or $F/F_{MSY}$ (orange), stocks 0.5<$B/B_{MSY}$<1 (blue), and stocks $B/B_{MSY}$>1 (green).",NA,images\NewEngland\stock_status_NewEngland,images\MidAtlantic\stock_status_MidAtlantic,NA,images\MidAtlantic\slide_stock_status_MidAtlantic,images\NewEngland\slide_stock_status_NewEngland,NA,NA,NA,NA
therm-hab-persist-2024,thermal_habitat_gridded,faceted map of number of days with temperatures above thresholds,NA,NA,The number of days in 2024 where bottom temperature exceeds 15℃ (left) and 24℃ (right) based on the GLORYS 1/12 degree grid.,NA,NA,images\BothReports\therm_hab_persist_BothReports,,NA,images\BothReports\slide_therm_hab_persist_BothReports,NA,NA,NA
total-landings,comdat,"line plot of total, council, and seafood landings","Total commercial landings (black), total U.S. seafood landings (blue), and New England managed U.S. seafood landings (red) for Georges Bank (GB, top) and the Gulf of Maine (GOM, bottom).","Total commercial landings (black), total U.S. seafood landings (blue), and Mid-Atlantic managed U.S. seafood landings (red), with significant decline (purple) in total landings.",NA,images/NewEngland/total_landings_NewEngland,images/MidAtlantic/total_landings_MidAtlantic,NA,images/MidAtlantic/slide_total_landings_MidAtlantic,images/NewEngland/slide_total_landings_NewEngland,NA,NA,NA,NA
totpp,annual_chl_pp,line plot of annual primary production,"Total areal annual primary production by ecological production unit (Georges Bank, top; Gulf of Maine, bottom). The dashed line represents the long-term (1998-2023) annual mean.",Total areal annual primary production for the MAB. The dashed line represents the long-term (1998-2024) annual mean.,NA,images\NewEngland\totpp_NewEngland,images\MidAtlantic\totpp_MidAtlantic,NA,images\MidAtlantic\slide_totpp_MidAtlantic,images\NewEngland\slide_totpp_NewEngland,NA,NA,NA,NA
traits,finfish_traits,line plot of length at maturity in spring and fall,"Fish community functional traits in New England based on Fall (red) and Spring (blue) survey data for Georges Bank (GB, top) and the Gulf of Maine (bottom). Dashed lines represent the long term annual mean. ","Fish community functional traits in the Mid Atlantic Bight based on Fall (red) and Spring (blue) survey data. Length at maturity for the full finfish community has increased in spring (orange line), but decreased in fall (purple lines)",NA,images\NewEngland\traits_NewEngland,images\MidAtlantic\traits_MidAtlantic,NA,images\MidAtlantic\slide_traits_MidAtlantic,images\NewEngland\slide_traits_NewEngland,NA,NA,NA,NA
transition,trans_dates,line plot of time between spring and fall transition dates,"Ocean summer length in New England (George's Bank, top; Gulf of Maine, bottom): the annual total number of days between the spring thermal transition date
and the fall thermal transition date (black), with an increasing trend (orange).","Ocean summer length in the MAB: the annual total number of days between the spring thermal transition date and the fall thermal transition date (black), with an increasing trend (orange).",NA,images\NewEngland\transition_date_NewEngland,images\MidAtlantic\transition_date_MidAtlantic,NA,images\MidAtlantic\slide_transition_date_MidAtlantic,images\NewEngland\slide_transition_date_NewEngland,NA,NA,NA,NA
wea-port-rev,wind_port,stacked bar plot of percent port revenue from leased areas,"Percent of port fisheries revenue from Wind Energy Areas (WEA) from all leases (active + non-active; green), non-active leases (blue), and active leases (orange).","Percent of Mid-Atlantic port revenue from Wind Energy Areas (WEA) from all leases (active + non-active; green), non-active leases (blue), and active leases (orange).",NA,images\NewEngland\wea_port_rev_NewEngland,images\MidAtlantic\wea_port_rev_MidAtlantic,NA,images\MidAtlantic\slide_wea_port_rev_MidAtlantic,images\NewEngland\slide_wea_port_rev_NewEngland,NA,NA,NA,NA
wea-spp-rev,wind_revenue,"line plot of revenue in lease areas, colored by species",Fishery revenues from NEFMC managed species in the Wind energy lease areas.,Fishery revenues from MAFMC managed species in the Wind energy lease areas.,NA,images/NewEngland/wind_revenue_NewEngland,images/MidAtlantic/wind_revenue_MidAtlantic,NA,images/MidAtlantic/slide_wind_revenue_MidAtlantic,images/NewEngland/slide_wind_revenue_NewEngland,NA,NA,NA,NA
whales-wind,NA,"map of whale hotspots, with lease areas overlaid",NA,NA,Northern Right Whale persistent hotspots (red shading) and Wind Energy Areas (black outlines).,NA,NA,images\BothReports\NARW_hotspots_final_2024.jpg,,NA,images\BothReports\NARW_hotspots_final_2024.jpg,NA,NA,NA
wind-dev-cumul,NA,"map of proposed wind development areas, with overlaid table of lease information",NA,NA,All Northeast Project areas by year construction ends (each project has a 2 year construction period).,NA,NA,images\BothReports\UpdatedWind_AngelaSilva_2025.png,,NA,images\BothReports\UpdatedWind_AngelaSilva_2025.png,NA,NA,NA
